OBJECTID,SSL,BLDG_NUM,SECT_NUM,STRUCT_CL,STRUCT_CL_D,GRADE,GRADE_D,EXTWALL,EXTWALL_D,WALL_HGT,NUM_UNITS,SALEDATE,PRICE,QUALIFIED,AYB,YR_RMDL,EYB,SALE_NUM,LIVING_GBA,USECODE,LANDAREA,GIS_LAST_MOD_DTTM
4872,5596    0825,1,1,C,Brick/Concr,30,Average,BR,Brick,,,2003-08-05T00:00:00.000Z,0,U,1936,,1970,1,4176,89,5606,2018-09-17T09:53:41.000Z
4873,5597    0004,1,1,C,Brick/Concr,30,Average,BR,Brick,,1,2017-12-22T00:00:00.000Z,0,U,1930,,1962,2,3136,49,3685,2018-09-17T09:53:41.000Z
4874,5597    0007,1,1,C,Brick/Concr,30,Average,BR,Brick,8,6,2016-12-27T00:00:00.000Z,250000,Q,1935,2017,1996,6,5040,21,3693,2018-09-17T09:53:41.000Z
4875,5597    0801,1,1,C,Brick/Concr,30,Average,BR,Brick,9,62,2002-12-04T00:00:00.000Z,0,U,1963,,1970,1,49296,21,35105,2018-09-17T09:53:41.000Z
4876,5600    0800,1,1,C,Brick/Concr,30,Average,BR,Brick,10,0,1900-01-01T00:00:00.000Z,0,U,1950,,1970,1,0,89,35683198,2018-09-17T09:53:41.000Z
4877,5600    0800,2,1,0,Default,0,Default,0,Typical,12,,1900-01-01T00:00:00.000Z,0,U,1930,,1930,1,0,89,35683198,2018-09-17T09:53:41.000Z
4878,5600    0800,3,1,0,Default,0,Default,0,Typical,12,,1900-01-01T00:00:00.000Z,0,U,1930,,1930,1,0,89,35683198,2018-09-17T09:53:41.000Z
4879,5600    0800,4,1,0,Default,0,Default,0,Typical,12,,1900-01-01T00:00:00.000Z,0,U,1930,,1930,1,0,89,35683198,2018-09-17T09:53:41.000Z
4880,5600    0800,5,1,0,Default,0,Default,BR,Brick,15,,1900-01-01T00:00:00.000Z,0,U,1930,,1930,1,0,89,35683198,2018-09-17T09:53:41.000Z
4881,5600    0800,6,1,0,Default,0,Default,CB,Concrete Block,8,,1900-01-01T00:00:00.000Z,0,U,1929,,1929,1,2698,89,35683198,2018-09-17T09:53:41.000Z
4882,5600    0800,7,1,0,Default,0,Default,CB,Concrete Block,8,,1900-01-01T00:00:00.000Z,0,U,1930,,1930,1,224,89,35683198,2018-09-17T09:53:41.000Z
4883,5600    0800,8,1,0,Default,0,Default,0,Typical,12,,1900-01-01T00:00:00.000Z,0,U,1930,,1930,1,0,89,35683198,2018-09-17T09:53:41.000Z
4884,5600    0800,9,1,0,Default,0,Default,0,Typical,12,,1900-01-01T00:00:00.000Z,0,U,1930,,1930,1,0,89,35683198,2018-09-17T09:53:41.000Z
4885,5600    0800,10,1,0,Default,0,Default,0,Typical,12,,1900-01-01T00:00:00.000Z,0,U,1930,,1930,1,0,89,35683198,2018-09-17T09:53:41.000Z
4886,5600    0800,11,1,0,Default,0,Default,BR,Brick,14,,1900-01-01T00:00:00.000Z,0,U,1944,,1944,1,224,89,35683198,2018-09-17T09:53:41.000Z
4887,5600    0800,12,1,0,Default,0,Default,AS,Asphalt Siding,9,,1900-01-01T00:00:00.000Z,0,U,1944,,1944,1,682,89,35683198,2018-09-17T09:53:41.000Z
4888,5600    0800,13,1,0,Default,0,Default,AS,Asphalt Siding,12,,1900-01-01T00:00:00.000Z,0,U,1943,,1943,1,1631,89,35683198,2018-09-17T09:53:41.000Z
